cross_section_norm,cross_section_denorm
-1.1195588,-3623.4639
-1.0421404,-3290.1826
-0.9621276,-2945.734
-0.3746105,-416.5153
-0.28768253,-42.296673
-0.25717294,89.044876
-0.23986128,163.57027
-0.2279558,214.82253
-0.20987424,292.66238
-0.18891767,382.87888
-0.15307193,537.1922
-0.097209595,777.6755
-0.07337061,880.30054
0.012232671,1248.8165
0.12461378,1732.609
0.25285953,2284.6975
0.28667757,2430.2817
0.30304348,2500.7358
0.3116337,2537.716
-0.8248046,-2354.568
-0.7987312,-2242.324
-0.76859087,-2112.572
-0.7387089,-1983.9324
-0.70372033,-1833.3091
-0.6559205,-1627.5344
-0.6063815,-1414.2725
-0.55702025,-1201.7759
-0.51200265,-1007.9786
-0.45366362,-756.8332
-0.39848614,-519.29816
-0.3452677,-290.1967
-0.3019781,-103.83818
-0.2727239,22.099077
-0.24851382,126.32173
-0.21723622,260.96957
-0.21180336,284.35764
-0.2154295,268.7474
-0.20670864,306.29007
-0.19467473,358.09512
-0.188542,384.49612
-0.18364356,405.58353
-0.17945036,423.63492
-0.17057241,461.85385
-0.1603348,505.92606
-0.15469378,530.2102
-0.1357288,611.853
-0.10426534,747.301
